"Name";"Source";"Size";"Type";"Alignment";"AC";"HP";"Speed";"Strength";"Dexterity";"Constitution";"Intelligence";"Wisdom";"Charisma";"Saving Throws";"Skills";"Damage Vulnerabilities";"Damage Resistances";"Damage Immunities";"Condition Immunities";"Senses";"Languages";"CR";"Traits";"Actions";"Bonus Actions";"Reactions";"Legendary Actions";"Mythic Actions";"Lair Actions";"Regional Effects";"Environment"
"Deep Gnome (Svirfneblin)";"MM";"Small";"Humanoid (Gnome)";"neutral good";"15 (chain shirt)";"16 (3d6 + 6)";"20 ft.";"15";"14";"14";"12";"10";"9";"Nan";"Investigation +3, Perception +2, Stealth +4";"Nan";"Nan";"Nan";"Nan";"darkvision 120 ft., passive Perception 12";"Gnomish, Terran, Undercommon";"1/2 (100 XP)";" Gnome Cunning. The gnome has advantage on Intelligence, Wisdom, and Charisma saving throws against magic. Innate Spellcasting. The gnome's innate spellcasting ability is Intelligence (spell save DC 11). It can innately cast the following spells, requiring no material components:At will: nondetection (self only)1/day each: blindness/deafness, blur, disguise self Stone Camouflage. The gnome has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.";" War Pick. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage. Poisoned Dart. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one creature. Hit: 4 (1d4 + 2) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or be poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Underdark"
"Deep Rothé";"MPMM";"Medium";"Beast (Cattle)";"unaligned";"10";"13 (2d8 + 4)";"30 ft.";"18";"10";"14";"2";"10";"4";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"darkvision 60 ft., passive Perception 10";"—";"1/4 (50 XP)";" Beast of Burden. The rothé is considered to be one size larger for the purpose of determining its carrying capacity.";" Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage. If the rothé moved at least 20 feet straight toward the target immediately before the hit, the target takes an extra 7 (2d6) piercing damage. Dancing Lights. The rothé casts dancing lights, requiring no spell components and using Wisdom as the spellcasting ability.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Underdark"
"Deep Rothé";"VGM";"Medium";"Beast";"unaligned";"10";"13 (2d8 + 4)";"30 ft.";"18";"10";"14";"2";"10";"4";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"darkvision 60 ft., passive Perception 10";"—";"1/4 (50 XP)";" Charge. If the rothé moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 7 (2d6) piercing damage. Innate Spellcasting. The deep rothé's spellcasting ability is Charisma. It can innately cast dancing lights at will, requiring no components.";" Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Underdark"
"Deep Scion";"MPMM";"Medium";"Monstrosity";"chaotic evil";"11";"67 (9d8 + 27)";"30 ft. (20 ft. and swim 40 ft. in hybrid form)";"18";"13";"16";"10";"12";"14";"Wis +3, Cha +4";"Deception +6, Insight +3, Sleight of Hand +3, Stealth +3";"Nan";"Nan";"Nan";"Nan";"darkvision 120 ft., passive Perception 11";"Aquan, Common, thieves' cant";"3 (700 XP)";" Amphibious (Hybrid Form Only). The deep scion can breathe air and water.";" Multiattack. The deep scion makes two Battleaxe attacks, or it makes one Bite attack and two Claw attacks. Battleaxe. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage, or 9 (1d10 + 4) slashing damage if used with two hands. Bite (Hybrid Form Only). Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 6 (1d4 + 4) piercing damage. Claw (Hybrid Form Only). Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) slashing damage. Psychic Screech (Hybrid Form Only; Recharges after a Short or Long Rest). The deep scion emits a terrible scream audible within 300 feet. Creatures within 30 feet of the deep scion must succeed on a DC 13 Wisdom saving throw or be stunned until the end of the deep scion's next turn. In water, the psychic screech also telepathically transmits the deep scion's memories of the last 24 hours to its master, regardless of distance, so long as it and its master are in the same body of water.";" Change Shape. The deep scion transforms into a hybrid form (humanoid-piscine) or back into its true form, which is humanlike. Its statistics, other than its speed, are the same in each form. Any equipment it is wearing or carrying isn't transformed. The deep scion reverts to its true form if it dies.";"Nan";"Nan";"Nan";"Nan";"Nan";"Coastal, Underwater"
"Deep Scion";"VGM";"Medium";"Humanoid (Shapechanger)";"neutral evil";"11";"67 (9d8 + 27)";"30 ft. (20 ft. and swim 40 ft. in hybrid form)";"18";"13";"16";"10";"12";"14";"Wis +3, Cha +4";"Deception +6, Insight +3, Sleight of Hand +3, Stealth +3";"Nan";"Nan";"Nan";"Nan";"darkvision 120 ft., passive Perception 11";"Aquan, Common, Thieves' cant";"3 (700 XP)";" Shapechanger. The deep scion can use its action to polymorph into a humanoid-piscine hybrid form, or back into its true form. Its statistics, other than its speed, are the same in each form. Any equipment it is wearing or carrying isn't transformed. The deep scion reverts to its true form if it dies. Amphibious (Hybrid Form Only). The deep scion can breathe air and water.";" Multiattack. In humanoid form, the deep scion makes two melee attacks. In hybrid form, the deep scion makes three attacks: one with its bite and two with its claws. Battleaxe (Humanoid Form Only). Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage, or 9 (1d10 + 4) slashing damage if used with two hands. Bite (Hybrid Form Only). Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 6 (1d4 + 4) piercing damage. Claw (Hybrid Form Only). Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) slashing damage. Psychic Screech (Hybrid Form Only; Recharges after a Short or Long Rest). The deep scion emits a terrible scream audible within 300 feet. Creatures within 30 feet of the deep scion must succeed on a DC 13 Wisdom saving throw or be stunned until the end of the deep scion's next turn. In water, the psychic screech also telepathically transmits the deep scion's memories of the last 24 hours to its master, regardless of distance, so long as it and its master are in the same body of water.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Coastal, Underwater"
"Deer";"MM";"Medium";"Beast";"unaligned";"13";"4 (1d8)";"50 ft.";"11";"16";"11";"2";"14";"5";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"passive Perception 12";"—";"0 (0 or 10 XP)";"Nan";" Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) piercing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Forest, Grassland"
"Deinonychus";"MPMM";"Medium";"Beast (Dinosaur)";"unaligned";"13 (natural armor)";"26 (4d8 + 8)";"40 ft.";"15";"15";"14";"4";"12";"6";"Nan";"Perception +3";"Nan";"Nan";"Nan";"Nan";"passive Perception 13";"—";"1 (200 XP)";" Pounce. If the deinonychus moves at least 20 feet straight toward a creature and then hits it with a Claw attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the deinonychus can make one Bite attack against it as a bonus action.";" Multiattack. The deinonychus makes one Bite attack and two Claw attacks. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage. Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Forest, Grassland, Hill"
"Deinonychus";"VGM";"Medium";"Beast";"unaligned";"13 (natural armor)";"26 (4d8 + 8)";"40 ft.";"15";"15";"14";"4";"12";"6";"Nan";"Perception +3";"Nan";"Nan";"Nan";"Nan";"passive Perception 13";"—";"1 (200 XP)";" Pounce. If the deinonychus moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the deinonychus can make one bite attack against it as a bonus action.";" Multiattack. The deinonychus makes three attacks: one with its bite and two with its claws. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage. Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Forest, Grassland, Hill"
"Demilich";"MM";"Tiny";"Undead";"neutral evil";"20 (natural armor)";"80 (32d4)";"0 ft., fly 30 ft. (hover)";"1";"20";"10";"20";"17";"20";"Con +6, Int +11, Wis +9, Cha +11";"Nan";"Nan";"bludgeoning, piercing, and slashing from magic weapons";"necrotic, poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks";"charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned, prone, stunned";"truesight 120 ft., passive Perception 13";"—";"18 (20,000 XP) or 20 (25,000 XP) when encountered in lair";" Avoidance. If the demilich is subjected to an effect that allows it to make a saving throw to take only half damage, it instead takes no damage if it succeeds on the saving throw, and only half damage if it fails. Legendary Resistance (3/Day). If the demilich fails a saving throw, it can choose to succeed instead. Turn Immunity. The demilich is immune to effects that turn undead.";" Howl (Recharge 5–6). The demilich emits a bloodcurdling howl. Each creature within 30 feet of the demilich that can hear the howl must succeed on a DC 15 Constitution saving throw or drop to 0 hit points. On a successful save, the creature is frightened until the end of its next turn. Life Drain. The demilich targets up to three creatures that it can see within 10 feet of it. Each target must succeed on a DC 19 Constitution saving throw or take 21 (6d6) necrotic damage, and the demilich regains hit points equal to the total damage dealt to all targets.";"Nan";"Nan";" Flight. The demilich flies up to half its flying speed. Cloud of Dust. The demilich magically swirls its dusty remains. Each creature within 10 feet of the demilich, including around a corner, must succeed on a DC 15 Constitution saving throw or be blinded until the end of the demilich's next turn. A creature that succeeds on the saving throw is immune to this effect until the end of the demilich's next turn. Energy Drain (Costs 2 Actions). Each creature with in 30 feet of the demilich must make a DC 15 Constitution saving throw. On a failed save, the creature's hit point maximum is magically reduced by 10 (3d6). If a creature's hit point maximum is reduced to 0 by this effect, the creature dies. A creature's hit point maximum can be restored with the greater restoration spell or similar magic. Vile Curse (Costs 3 Actions). The demilich targets one creature it can see within 30 feet of it. The target must succeed on a DC 15 Wisdom saving throw or be magically cursed. Until the curse ends, the target has disadvantage on attack rolls and saving throws. The target can repeat the saving throw at the end of each of its turns, ending the curse on a success.";"Nan";"On initiative count 20 (losing initiative ties), the demilich rolls a d20. On a result of 11 or higher, the demilich takes a lair action to cause one of the following effects. It can't use the same effect two rounds in a row.The tomb trembles violently for a moment. Each creature on the floor of the tomb must succeed on a DC 19 Dexterity saving throw or be knocked prone.The demilich targets one creature it can see within 60 feet of it. An antimagic field fills the space of the target, moving with it until initiative count 20 on the next round.The demilich targets any number of creatures it can see within 30 feet of it. No target can regain hit points until initiative count 20 on the next round.";"A demilich's tomb might have any or all of the following effects in place:The first time a non-evil creature enters the tomb's area, the creature takes 16 (3d10) necrotic damage.Monsters in the tomb have advantage on saving throws against being charmed or frightened, and against features that turn undead.The tomb is warded against the magical travel of creatures the demilich hasn't authorized. Such creatures can't teleport into or out of the tomb's area or use planar travel to enter or leave it. Effects that allow teleportation or planar travel work within the tomb as long as they aren't used to leave or enter the tomb's area.If the demilich is destroyed, these effects fade over the course of 10 days.";"Nan"
"Demogorgon";"MPMM";"Huge";"Fiend (Demon)";"chaotic evil";"22 (natural armor)";"464 (32d12 + 256)";"50 ft., swim 50 ft.";"29";"14";"26";"20";"17";"25";"Dex +10, Con +16, Wis +11, Cha +15";"Insight +11, Perception +19";"Nan";"cold, fire, lightning";"poison; bludgeoning, piercing, and slashing from nonmagical attacks";"charmed, exhaustion, frightened, poisoned";"truesight 120 ft., passive Perception 29";"all, telepathy 120 ft.";"26 (90,000 XP)";" Legendary Resistance (3/Day). If Demogorgon fails a saving throw, he can choose to succeed instead. Magic Resistance. Demogorgon has advantage on saving throws against spells and other magical effects. Two Heads. Demogorgon has advantage on saving throws against being blinded, deafened, stunned, or knocked unconscious.";" Multiattack. Demogorgon makes two Tentacle attacks. He can replace one attack with a use of Gaze. Tentacle. Melee Weapon Attack: +17 to hit, reach 10 ft., one target. Hit: 28 (3d12 + 9) force damage. If the target is a creature, it must succeed on a DC 23 Constitution saving throw, or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if its hit point maximum is reduced to 0. Gaze. Demogorgon turns his magical gaze toward one creature he can see within 120 feet of him. The target must succeed on a DC 23 Wisdom saving throw or suffer one of the following effects (choose one or roll a d6):1–2: Beguiling Gaze. The target is stunned until the start of Demogorgon's next turn or until Demogorgon is no longer within line of sight.3–4: Confusing Gaze. The target suffers the effect of the confusion spell without making a saving throw. The effect lasts until the start of Demogorgon's next turn. Demogorgon doesn't need to concentrate on the spell.5–6: Hypnotic Gaze. The target is charmed by Demogorgon until the start of Demogorgon's next turn. Demogorgon chooses how the charmed target uses its action, reaction, and movement. Spellcasting. Demogorgon casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 23):At will: detect magic, major image3/day each: dispel magic, fear, telekinesis1/day each: feeblemind, project image";"Nan";"Nan";" Gaze. Demogorgon uses Gaze and must use either Beguiling Gaze or Confusing Gaze. Tail. Melee Weapon Attack: +17 to hit, reach 15 ft., one target. Hit: 20 (2d10 + 9) bludgeoning damage plus 11 (2d10) necrotic damage. Cast a Spell (Costs 2 Actions). Demogorgon uses Spellcasting.";"Nan";"On initiative count 20 (losing initiative ties), Demogorgon can take one of the following lair actions; he can't take the same lair action two rounds in a row:Darkness. Demogorgon casts the darkness spell four times, targeting different areas with the spell. Demogorgon doesn't need to concentrate on the spells, which end on initiative count 20 of the next round.Illusory Duplicate. Demogorgon creates an illusory duplicate of himself, which appears in his space and lasts until initiative count 20 of the next round. On his turn, Demogorgon can move the illusory duplicate a distance equal to his walking speed (no action required). The first time a creature or an object interacts physically with Demogorgon (for example, by hitting him with an attack), there is a 50 percent chance that the illusory duplicate is affected, not Demogorgon, in which case the illusion disappears.";"The region containing Demogorgon's lair is warped by his magic, creating one or more of the following effects:Beguiling Realm. Within 6 miles of the lair, all Charisma (Persuasion) and Charisma (Performance) checks have disadvantage, and all Charisma (Deception) and Charisma (Intimidation) checks have advantage.Frenzied Animals. Beasts within 1 mile of the lair become frenzied and violent—even creatures that are normally docile. Within that area, any ability check involving Animal Handling has disadvantage.Venomous Beasts. The area within 6 miles of the lair becomes overpopulated with poisonous snakes and other venomous Beasts.If Demogorgon dies, these effects fade over the course of 1d10 days.";"Nan"
"Demogorgon";"MTF";"Huge";"Fiend (Demon)";"chaotic evil";"22 (natural armor)";"406 (28d12 + 224)";"50 ft., swim 50 ft.";"29";"14";"26";"20";"17";"25";"Dex +10, Con +16, Wis +11, Cha +15";"Insight +11, Perception +19";"Nan";"cold, fire, lightning";"poison; bludgeoning, piercing, and slashing that is nonmagical";"charmed, exhaustion, frightened, poisoned";"truesight 120 ft., passive Perception 29";"all, telepathy 120 ft.";"26 (90,000 XP)";" Innate Spellcasting. Demogorgon's spellcasting ability is Charisma (spell save DC 23). Demogorgon can innately cast the following spells, requiring no material components:At will: detect magic, major image3/day each: dispel magic, fear, telekinesis1/day each: feeblemind, project image Legendary Resistance (3/Day). If Demogorgon fails a saving throw, he can choose to succeed instead. Magic Resistance. Demogorgon has advantage on saving throws against spells and other magical effects. Magic Weapons. Demogorgon's weapon attacks are magical. Two Heads. Demogorgon has advantage on saving throws against being blinded, deafened, stunned, or knocked unconscious.";" Multiattack. Demogorgon makes two tentacle attacks. Tentacle. Melee Weapon Attack: +17 to hit, reach 10 ft., one target. Hit: 28 (3d12 + 9) bludgeoning damage. If the target is a creature, it must succeed on a DC 23 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if its hit point maximum is reduced to 0. Gaze. Demogorgon turns his magical gaze toward one creature that he can see within 120 feet of him. That target must make a DC 23 Wisdom saving throw. Unless the target is incapacitated, it can avert its eyes to avoid the gaze and to automatically succeed on the save. If the target does so, it can't see Demogorgon until the start of his next turn. If the target looks at him in the meantime, it must immediately make the save.If the target fails the save, the target suffers one of the following effects of Demogorgon's choice or at random:1. Beguiling Gaze. The target is stunned until the start of Demogorgon's next turn or until Demogorgon is no longer within line of sight.2. Hypnotic Gaze. The target is charmed by Demogorgon until the start of Demogorgon's next turn. Demogorgon chooses how the charmed target uses its actions, reactions, and movement. Because this gaze requires Demogorgon to focus both heads on the target, he can't use his Maddening Gaze legendary action until the start of his next turn.3. Insanity Gaze. The target suffers the effect of the confusion spell without making a saving throw. The effect lasts until the start of Demogorgon's next turn. Demogorgon doesn't need to concentrate on the spell.";"Nan";"Nan";" Tail. Melee Weapon Attack: +17 to hit, reach 15 ft., one target. Hit: 20 (2d10 + 9) bludgeoning damage plus 11 (2d10) necrotic damage. Maddening Gaze. Demogorgon uses his Gaze action, and must choose either the Beguiling Gaze or the Insanity Gaze effect.";"Nan";"On Initiative count 20 (losing initiative ties), Demogorgon can take a lair action to cause one of the following effects: Demogorgon can't use the same effect two rounds in a row:Demogorgon creates an illusory duplicate of himself, which appears in his own space and lasts until initiative count 20 of the next round. On his turn, Demogorgon can move the illusory duplicate a distance equal to his walking speed (no action required). The first time a creature or object interacts physically with Demogorgon (for example, hitting him with an attack), there is a 50 percent chance that it is the illusory duplicate that is being affected, not Demogorgon himself, in which case the illusion disappears.Demogorgon casts the darkness spell four times at its lowest level, targeting different areas with the spell. Demogorgon doesn't need to concentrate on the spells, which end on initiative count 20 of the next round.";"The region containing Demogorgon's lair is warped by his magic, creating one or more of the following effects:The area within 6 miles of the lair becomes overpopulated with lizards, poisonous snakes, and other venomous beasts.Beasts within 1 mile of the lair become violent and crazed-even creatures that are normally docile.If a humanoid spends at least 1 hour within 1 mile of the lair, that creature must succeed on a DC 23 Wisdom saving throw or descend into a madness determined by the Madness of Demogorgon table. A creature that succeeds on this saving throw can't be affected by this regional effect again for 24 hours.If Demogorgon dies, these effects fade over the course of 1d10 days. Madness of Demogorgon[–] If a creature goes mad in Demogorgon's lair or within line of sight of the demon lord, roll on the Madness of Demogorgon table to determine the nature of the madness, which is a character flaw that lasts until cured. See the Dungeon Master's Guide for more on madness.Madness of Demogorgond100Flaw (lasts until cured)01-20"Nan"Someone is plotting to kill me. I need to strike first to stop them!"Nan"21-40"Nan"There is only one solution to my problems: kill them all!"Nan"41-60"Nan"There is more than one mind inside my head."Nan"61-80"Nan"If you don't agree with me, I'll beat you into submission to get my way."Nan"81-00"Nan"I can't allow anyone to touch anything that belongs to me. They might try to take it away from me!"Nan"";"Nan"
"Derro";"MPMM";"Small";"Aberration";"chaotic evil";"13 (leather armor)";"13 (3d6 + 3)";"30 ft.";"10";"14";"12";"11";"5";"9";"Nan";"Stealth +4";"Nan";"Nan";"Nan";"Nan";"darkvision 120 ft., passive Perception 7";"Dwarvish, Undercommon";"1/4 (50 XP)";" Magic Resistance. The derro has advantage on saving throws against spells and other magical effects. Sunlight Sensitivity. While in sunlight, the derro has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.";" Hooked Spear. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) piercing damage. If the target is Medium or smaller, the derro can choose to deal no damage and knock it prone. Light Crossbow. Ranged Weapon Attack: +4 to hit, range 80/320 ft., one target. Hit: 6 (1d8 + 2) piercing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Mountain, Underdark"
"Derro";"MTF";"Small";"Humanoid (Derro)";"chaotic evil";"13 (leather armor)";"13 (3d6 + 3)";"30 ft.";"10";"14";"12";"11";"5";"9";"Nan";"Stealth +4";"Nan";"Nan";"Nan";"Nan";"darkvision 120 ft., passive Perception 7";"Dwarvish, Undercommon";"1/4 (50 XP)";" Magic Resistance. The derro has advantage on saving throws against spells and other magical effects. Sunlight Sensitivity. While in sunlight, the derro has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.";" Hooked Spear. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) piercing damage. If the target is Medium or smaller, the derro can choose to deal no damage and knock it prone. Light Crossbow. Ranged Weapon Attack: +4 to hit, range 80/320 ft., one target. Hit: 6 (1d8 + 2) piercing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Mountain, Underdark"
"Derro Savant";"MPMM";"Small";"Aberration (Sorcerer)";"chaotic evil";"13 (leather armor)";"36 (8d6 + 8)";"30 ft.";"9";"14";"12";"11";"5";"14";"Nan";"Stealth +4";"Nan";"Nan";"Nan";"Nan";"darkvision 120 ft., passive Perception 7";"Dwarvish, Undercommon";"3 (700 XP)";" Magic Resistance. The derro has advantage on saving throws against spells and other magical effects. Sunlight Sensitivity. While in sunlight, the derro has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.";" Quarterstaff. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 2 (1d6 - 1) bludgeoning damage. Chromatic Beam. The derro launches a brilliant beam of magical energy in a 5-foot-wide line that is 60 feet long. Each creature in the line must make a DC 12 Dexterity saving throw, taking 21 (6d6) radiant damage on a failed save, or half as much damage on a successful one. Spellcasting. The derro casts one of the following spells, using Charisma as the spellcasting ability (spell save DC 12):At will: mage hand, message, prestidigitation1/day each: invisibility, sleep, spider climb";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Underdark"
"Derro Savant";"MTF";"Small";"Humanoid (Derro)";"chaotic evil";"13 (leather armor)";"36 (8d6 + 8)";"30 ft.";"9";"14";"12";"11";"5";"14";"Nan";"Stealth +4";"Nan";"Nan";"Nan";"Nan";"darkvision 120 ft., passive Perception 7";"Dwarvish, Undercommon";"3 (700 XP)";" Magic Resistance. The derro savant has advantage on saving throws against spells and other magical effects. Spellcasting. The derro savant is a 5th-level spellcaster. Its spellcasting ability is Charisma (spell save DC 12, +4 to hit with spell attacks). The derro knows the following sorcerer spells:Cantrips (at will): acid splash, mage hand, message, prestidigitation, ray of frost1st level (4 slots): burning hands, chromatic orb, sleep2nd level (3 slots): invisibility, spider climb3rd level (2 slots): lightning bolt Sunlight Sensitivity. While in sunlight, the derro savant has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.";" Quarterstaff. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 2 (1d6 - 1) bludgeoning damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Underdark"
"Deva";"MM";"Medium";"Celestial";"lawful good";"17 (natural armor)";"136 (16d8 + 64)";"30 ft., fly 90 ft.";"18";"18";"18";"17";"20";"20";"Wis +9, Cha +9";"Insight +9, Perception +9";"Nan";"radiant; bludgeoning, piercing, and slashing from nonmagical attacks";"Nan";"charmed, exhaustion, frightened";"darkvision 120 ft., passive Perception 19";"all, telepathy 120 ft.";"10 (5,900 XP)";" Angelic Weapons. The deva's weapon attacks are magical. When the deva hits with any weapon, the weapon deals an extra 4d8 radiant damage (included in the attack). Innate Spellcasting. The deva's spellcasting ability is Charisma (spell save DC 17). The deva can innately cast the following spells, requiring only verbal components:At will: detect evil and good1/day each: commune, raise dead Magic Resistance. The deva has advantage on saving throws against spells and other magical effects.";" Multiattack. The deva makes two melee attacks. Mace. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage plus 18 (4d8) radiant damage. Healing Touch (3/Day). The deva touches another creature. The target magically regains 20 (4d8 + 2) hit points and is freed from any curse, disease, poison, blindness, or deafness. Change Shape. The deva magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the deva's choice).In a new form, the deva retains its game statistics and ability to speak, but its AC, movement modes, Strength, Dexterity, and special senses are replaced by those of the new form, and it gains any statistics and capabilities (except class features, legendary actions, and lair actions) that the new form has but that it lacks.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan"
"Devkarin Lich";"GGR";"Medium";"Undead";"neutral evil";"14 (natural armor)";"97 (15d8 + 30)";"30 ft.";"11";"16";"14";"19";"16";"15";"Con +7, Int +9, Wis +8";"Arcana +14, Insight +8, Perception +8";"Nan";"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks";"poison";"charmed, exhaustion, frightened, paralyzed, poisoned";"truesight 120 ft., passive Perception 18";"Common, Elvish, Kraul";"14 (11,500 XP)";" Legendary Resistance (3/Day). If the lich fails a saving throw, it can choose to succeed instead. Regeneration. The lich regains 10 hit points at the start of its turn. If the lich takes fire or radiant damage, this trait doesn't function at the start of the lich's next turn. The lich dies only if it starts its turn with 0 hit points and doesn't regenerate. Spellcasting. The lich is a 14th-level Golgari spellcaster. Its spellcasting ability is Intelligence (spell save DC 17, +9 to hit with spell attacks). The lich has the following wizard spells prepared:Cantrips (at will): acid splash, chill touch, mage hand, poison spray, prestidigitation1st level (4 slots): chromatic orb, magic missile, ray of sickness2nd level (3 slots): Melf's acid arrow, ray of enfeeblement, spider climb, web3rd level (3 slots): animate dead, bestow curse, fear, vampiric touch4th level (3 slots): blight, Evard's black tentacles5th level (2 slots): cloudkill, insect plague6th level (1 slot): circle of death, create undead7th level (1 slot): finger of death Turn Resistance. The lich has advantage on saving throws against any effect that turns undead. Undead Fortitude. If damage reduces the lich to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the lich drops to 1 hit point instead.";" Noxious Touch. Melee Spell Attack: +9 to hit, reach 5 ft., one creature. Hit: 14 (4d6) poison damage, and the target must succeed on a DC 17 Constitution saving throw or be poisoned for 1 minute. The poisoned target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.";"Nan";"Nan";" Cantrip. The lich casts one of its cantrips. Noxious Touch (Costs 2 Actions). The lich uses Noxious Touch. Disrupt Life (Costs 3 Actions). Each creature within 30 feet of the lich must make a DC 17 Constitution saving throw, taking 21 (6d6) necrotic damage on a failed save, or half as much damage on a successful one.";"Nan";"Nan";"Nan";"Nan"
"Devourer";"MPMM";"Large";"Undead";"chaotic evil";"16 (natural armor)";"189 (18d10 + 90)";"30 ft.";"20";"12";"20";"13";"10";"16";"Nan";"Nan";"Nan";"cold, fire, lightning";"poison";"poisoned";"darkvision 120 ft., passive Perception 10";"Abyssal, telepathy 120 ft.";"13 (10,000 XP)";" Unusual Nature. A devourer doesn't require air, drink, or sleep.";" Multiattack. The devourer makes two Claw attacks and can use either Imprison Soul or Soul Rend, if available. Claw. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage plus 21 (6d6) necrotic damage. Imprison Soul. The devourer chooses a living Humanoid with 0 hit points that it can see within 30 feet of it. That creature is teleported inside the devourer's ribcage and imprisoned there. While imprisoned in this way, the creature is restrained and has disadvantage on death saving throws. If the creature dies while imprisoned, the devourer regains 25 hit points and immediately recharges Soul Rend. Additionally, at the start of its next turn, the devourer regurgitates the slain creature as a bonus action, and the creature becomes an undead. If the victim had 2 or fewer Hit Dice, it becomes a zombie. If it had 3 to 5 Hit Dice, it becomes a ghoul. Otherwise, it becomes a wight. A devourer can imprison only one creature at a time. Soul Rend (Recharge 6). The devourer creates a vortex of life-draining energy in a 20-foot radius centered on itself. Each creature in that area must make a DC 18 Constitution saving throw, taking 44 (8d10) necrotic damage on a failed save, or half as much damage on a successful one.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Underdark"
